Entity,Productivity
Luxembourg,43.608805375
Norway,42.06551172647058
United States,39.96744660294121
Switzerland,35.829556294117644
Netherlands,34.45215260588235
Cyprus,34.286072304347826
Iceland,32.441485370370366
France,32.243367891176476
Belgium,32.042675561764696
Canada,31.729094602941178
Denmark,31.699124861764705
Australia,31.158628558823526
Israel,30.70240972972973
Sweden,30.01804912058824
Slovenia,29.960588217391305
Germany,29.775864588235294
Ireland,28.17280989117647
Barbados,27.92379127272727
Italy,27.280270435294113
United Kingdom,27.171252013235293
New Zealand,26.946490666666673
Czechia,26.61011944
Austria,26.580731730882356
Finland,25.935579880882347
Malta,25.102281958333336
Slovakia,24.534090928571427
Spain,23.877465952941176
Croatia,23.259028391304344
Singapore,22.145804956896544
Turkey,21.877061604166666
